identifierHash,type,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityGenderId,civilityTitle,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,seniorityAsMonths,seniorityAsYears,countryCode
-7877915015908472168,user,Royaume-Uni,en,3,8,4,0,0,0.0,0,0,F,2,mrs,False,False,False,True,591,3205,106.83,8.9,gb
-8231936648814680895,user,Danemark,en,3,8,370,0,0,0.0,1,0,F,2,mrs,False,False,False,True,42,3205,106.83,8.9,dk
5663923945758514393,user,Etats-Unis,en,3,8,1,0,0,0.0,0,0,F,2,mrs,False,False,False,True,32,3205,106.83,8.9,us
-3483039296670050121,user,Allemagne,de,3,8,27,0,0,0.0,0,0,M,1,mr,True,False,True,True,669,3205,106.83,8.9,de
3451396970677435825,user,Suisse,en,3,8,0,0,0,0.0,9,0,F,2,mrs,True,True,False,True,463,3205,106.83,8.9,ch
5838516385022128357,user,Danemark,en,3,8,2,0,0,0.0,1,0,M,1,mr,False,False,False,True,540,3205,106.83,8.9,dk
-1369438276320193587,user,France,fr,31,8,0,1,1,0.0,0,1,F,2,mrs,True,False,True,False,127,3205,106.83,8.9,fr
552650142297123453,user,Congo,fr,3,8,1,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,cg
-6589093921826008799,user,Etats-Unis,en,3,9,1,0,0,0.0,14,1,M,1,mr,False,False,False,True,26,3205,106.83,8.9,us
-5161663827273418736,user,Etats-Unis,en,3,8,1,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,us
5565027713331848494,user,Suède,en,3,8,8,0,0,0.0,0,0,F,2,mrs,True,False,True,True,390,3205,106.83,8.9,se
7690387332871946938,user,France,fr,3,8,12,0,0,0.0,2,0,F,2,mrs,True,True,False,True,566,3205,106.83,8.9,fr
5075750354297569635,user,France,fr,3,9,13,0,0,0.0,2,0,F,2,mrs,True,False,True,True,63,3205,106.83,8.9,fr
-937288556484695351,user,Suède,en,5,8,0,0,0,0.0,107,1,M,1,mr,False,False,False,True,543,3205,106.83,8.9,se
7940809358368817302,user,France,fr,3,8,56,0,0,0.0,0,0,F,2,mrs,True,False,True,True,17,3205,106.83,8.9,fr
852735558335204128,user,Etats-Unis,en,3,8,7,0,0,0.0,0,0,F,2,mrs,False,False,False,True,480,3205,106.83,8.9,us
7144186809315241123,user,Canada,en,4,10,1,0,0,0.0,7,1,F,2,mrs,True,True,False,True,208,3205,106.83,8.9,ca
-1075129382552714013,user,Allemagne,de,3,8,31,0,0,0.0,0,0,F,2,mrs,True,False,True,True,476,3205,106.83,8.9,de
4994268169579335625,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,2,F,2,mrs,False,False,False,True,27,3205,106.83,8.9,gb
2376229820213970068,user,Etats-Unis,en,3,8,4,0,0,0.0,2,0,F,2,mrs,True,True,False,True,15,3205,106.83,8.9,us
-386288383642107683,user,Etats-Unis,en,3,8,52,0,0,0.0,7,0,F,2,mrs,True,False,True,True,23,3205,106.83,8.9,us
