,country,language,gender,hasAndroidApp,hasIosApp,daysSinceLastLogin,productsListed,productsSold,productsPassRate,productsWished,productsBought,socialProductsLiked,socialNbFollowers,socialNbFollows,OS
6,Royaume-Uni,en,F,False,False,591,0,0,0.0,0,0,4,3,8,Browser
17,Danemark,en,F,False,False,42,0,0,0.0,1,0,370,3,8,Browser
18,Etats-Unis,en,F,False,False,32,0,0,0.0,0,0,1,3,8,Browser
27,Allemagne,de,M,False,True,669,0,0,0.0,0,0,27,3,8,iOS
29,Suisse,en,F,True,False,463,0,0,0.0,9,0,0,3,8,Android
43,Danemark,en,M,False,False,540,0,0,0.0,1,0,2,3,8,Browser
46,France,fr,F,False,True,127,1,1,0.0,0,1,0,31,8,iOS
50,Congo,fr,F,False,False,709,0,0,0.0,0,0,1,3,8,Browser
51,Etats-Unis,en,M,False,False,26,0,0,0.0,14,1,1,3,9,Browser
57,Etats-Unis,en,F,False,False,709,0,0,0.0,0,0,1,3,8,Browser
62,Suède,en,F,False,True,390,0,0,0.0,0,0,8,3,8,iOS
67,France,fr,F,True,False,566,0,0,0.0,2,0,12,3,8,Android
79,France,fr,F,False,True,63,0,0,0.0,2,0,13,3,9,iOS
85,Suède,en,M,False,False,543,0,0,0.0,107,1,0,5,8,Browser
90,France,fr,F,False,True,17,0,0,0.0,0,0,56,3,8,iOS
92,Etats-Unis,en,F,False,False,480,0,0,0.0,0,0,7,3,8,Browser
95,Canada,en,F,True,False,208,0,0,0.0,7,1,1,4,10,Android
98,Allemagne,de,F,False,True,476,0,0,0.0,0,0,31,3,8,iOS
102,Royaume-Uni,en,F,False,False,27,0,0,0.0,0,2,0,3,8,Browser
106,Etats-Unis,en,F,True,False,15,0,0,0.0,2,0,4,3,8,Android
108,Etats-Unis,en,F,False,True,23,0,0,0.0,7,0,52,3,8,iOS
114,Etats-Unis,en,M,False,True,15,0,0,0.0,4,6,0,28,29,iOS
118,Danemark,en,F,False,True,542,0,0,0.0,0,0,8,3,8,iOS
130,Australie,en,F,False,True,35,0,0,0.0,0,0,6,3,8,iOS
133,France,fr,F,False,True,485,1,1,0.0,0,0,6,7,8,iOS
135,Chine,en,F,False,True,700,0,0,0.0,0,0,3,3,8,iOS
138,Royaume-Uni,en,F,False,False,709,0,0,0.0,0,0,4,3,8,Browser
139,Etats-Unis,en,F,False,False,709,0,0,0.0,1,0,0,3,8,Browser
141,Etats-Unis,en,F,False,False,374,0,0,0.0,2,0,0,3,8,Browser
147,France,fr,F,False,False,708,0,0,0.0,0,0,1,3,8,Browser
148,Etats-Unis,en,F,False,False,537,0,0,0.0,0,0,3,3,8,Browser
149,France,fr,F,False,False,686,0,0,0.0,0,0,1,3,8,Browser
152,Etats-Unis,en,F,False,False,709,0,0,0.0,1,0,1,4,9,Browser
156,Italie,it,F,False,False,701,0,0,0.0,0,0,2,3,8,Browser
158,Royaume-Uni,en,F,False,False,709,0,0,0.0,1,0,0,3,8,Browser
164,Royaume-Uni,en,F,False,True,665,0,3,66.0,0,0,0,10,8,iOS
167,Australie,en,F,False,False,156,0,0,0.0,0,0,3,3,8,Browser
184,Allemagne,de,F,False,True,307,0,0,0.0,0,0,1,3,8,iOS
185,Espagne,es,F,True,False,146,0,0,0.0,2,0,6,3,9,Android
186,Australie,en,F,False,True,237,0,0,0.0,6,0,4,3,8,iOS
193,Danemark,en,F,False,True,688,0,0,0.0,0,0,20,3,8,iOS
196,Etats-Unis,en,F,False,False,60,2,0,0.0,0,0,7,4,8,Browser
199,Canada,en,F,False,False,17,0,0,0.0,0,0,1,3,8,Browser
